(c) Der Bundeswahlleiter, Wiesbaden 2021																	
Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0)																	
																	
Ergebnisse nach Wahlkreisen																	
Status:	Vorläufig																
Stand:	27.09.2021	06:09															
																	
Format: CSV. Trennzeichen: Semikolon. Zeichensatz: UTF-8 mit BOM																	
																	
Wahlart	Wahltag	Gebietsart	Gebietsnummer	Gebietsname	UegGebietsart	UegGebietsnummer	Gruppenart	Gruppenname	Gruppenreihenfolge	Stimme	Anzahl	Prozent	VorpAnzahl	VorpProzent	DiffProzent	DiffProzentPkt	Bemerkung
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	PdF	35	2	3234	0,006967					
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	LfK	36	1							
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	LfK	36	2	9195	0,019809					
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	SSW	37	1	34979	0,075484					
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	SSW	37	2	55330	0,119196					
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	Team Todenhöfer	38	1	5699	0,012298					
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	Team Todenhöfer	38	2	214281	0,461619					
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	UNABHÄNGIGE	39	1	13415	0,028949	2458	0,005299	445,768918	0,023651	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	UNABHÄNGIGE	39	2	22770	0,049053					
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	Volt	40	1	78211	0,168778					
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	Volt	40	2	165153	0,355784					
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	Volksabstimmung	41	1	1085	0,002341	6316	0,013615	-82,821406	-0,011274	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	Volksabstimmung	41	2			9631	0,020705		-0,020705	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	B*	42	1	222	0,000479	672	0,001449	-66,964286	-0,00097	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	B*	42	2			911	0,001958		-0,001958	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	sonstige	43	1	258	0,000557					
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	sonstige	43	2							
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	FAMILIE	44	1	1815	0,003917	506	0,001091	258,695652	0,002826	
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	FAMILIE	44	2							
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	Graue Panther	45	1	960	0,002072					
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	Graue Panther	45	2							
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	KlimalisteBW	46	1	3957	0,008539					
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	KlimalisteBW	46	2							
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	THP	47	1	549	0,001185					
BT	26.09.2021	Bund	99	Bundesgebiet			Partei	THP	47	2							
BT	26.09.2021	Bund	99	Bundesgebiet			Einzelbewerber/Wählergruppe	Einzelbewerber/Wählergruppe	48	1	110799	0,239102					
BT	26.09.2021	Bund	99	Bundesgebiet			System-Gruppe	Übrige	1000	1			107495	0,231722		-0,231722	
BT	26.09.2021	Bund	99	Bundesgebiet			System-Gruppe	Übrige	1000	2			204580	0,43981		-0,43981	
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	System-Gruppe	Wahlberechtigte	-4		2250117		2266012		-0,701453		
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	System-Gruppe	Wählende	-3		1761345	78,27793	1729194	76,310011	1,859306	1,967919	
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	System-Gruppe	Ungültige	-2	1	16228	0,921341	16172	0,935233	0,346278	-0,013892	
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	System-Gruppe	Ungültige	-2	2	13559	0,769809	13553	0,783776	0,044271	-0,013966	
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	System-Gruppe	Gültige	-1	1	1745117	99,078659	1713022	99,064767	1,873589	0,013892	
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	System-Gruppe	Gültige	-1	2	1747786	99,230191	1715641	99,216224	1,873644	0,013966	
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	CDU	1	1	461772	26,460805	682287	39,829436	-32,319977	-13,368631	
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	CDU	1	2	384786	22,015624	583135	33,989337	-34,014251	-11,973713	
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	SPD	2	1	525771	30,128123	493279	28,795836	6,586942	1,332288	
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	SPD	2	2	489879	28,028546	399505	23,286049	22,621494	4,742497	
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	FDP	3	1	165597	9,489163	131703	7,688343	25,735177	1,800821	
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	FDP	3	2	218061	12,476413	216844	12,639241	0,561233	-0,162828	
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	GRÜNE	4	1	313382	17,95765	163580	9,549206	91,57721	8,408444	
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	GRÜNE	4	2	320319	18,327129	205471	11,97634	55,894992	6,350789	
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	AfD	5	1	112468	6,444725	128641	7,509594	-12,572197	-1,064869	
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	AfD	5	2	118330	6,77028	140362	8,181315	-15,696556	-1,411036	
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	DIE LINKE	6	1	55191	3,162596	90574	5,287381	-39,065295	-2,124785	
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	DIE LINKE	6	2	63759	3,647987	124678	7,267138	-48,861066	-3,619151	
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	Die PARTEI	7	1	17895	1,025433	4017	0,234498	345,481703	0,790935	
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	Die PARTEI	7	2	17781	1,017344	20732	1,208411	-14,234034	-0,191067	
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	FREIE WÄHLER	8	1	26247	1,504025	15957	0,931512	64,485806	0,572514	
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	FREIE WÄHLER	8	2	16844	0,963734	11095	0,646697	51,816133	0,317036	
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	NPD	9	1							
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	NPD	9	2	2015	0,115289	4210	0,245389	-52,137767	-0,130101	
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	ÖDP	10	1							
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	ÖDP	10	2	1538	0,087997	3116	0,181623	-50,641849	-0,093626	
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	MLPD	11	1	263	0,015071	1381	0,080618	-80,955829	-0,065547	
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	MLPD	11	2	340	0,019453	823	0,04797	-58,687728	-0,028517	
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	dieBasis	12	1	26904	1,541673					
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	dieBasis	12	2	23165	1,325391					
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	DKP	13	1	313	0,017936					
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	DKP	13	2	525	0,030038					
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	du.	14	1	707	0,040513					
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	du.	14	2	1035	0,059218					
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	LKR	15	1	1060	0,060741					
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	LKR	15	2	711	0,04068					
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	Die Humanisten	16	1							
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	Die Humanisten	16	2	1762	0,100813					
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	Tierschutzpartei	17	1							
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	Tierschutzpartei	17	2	20483	1,17194					
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	SSW	18	1	34979	2,004393					
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	SSW	18	2	55330	3,165719					
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	Team Todenhöfer	19	1							
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	Team Todenhöfer	19	2	5251	0,300437					
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	Volt	20	1	1385	0,079364					
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	Volt	20	2	4124	0,235956					
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	V-Partei³	21	1	580	0,033236					
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	V-Partei³	21	2	1748	0,100012					
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Einzelbewerber/Wählergruppe	Einzelbewerber/Wählergruppe	22	1	603	0,034554					
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	FAMILIE	23	1			506	0,029538		-0,029538	
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	Partei	FAMILIE	23	2							
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	System-Gruppe	Übrige	1000	1			1097	0,064039		-0,064039	
BT	26.09.2021	Land	1	Schleswig-Holstein	BUND	99	System-Gruppe	Übrige	1000	2			5670	0,330489		-0,330489	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	System-Gruppe	Wahlberechtigte	-4		1312068		1324614		-0,947144		
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	System-Gruppe	Wählende	-3		935040	71,264599	938587	70,857397	-0,377908	0,407202	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	System-Gruppe	Ungültige	-2	1	17131	1,832114	11742	1,251029	45,895077	0,581085	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	System-Gruppe	Ungültige	-2	2	16366	1,750299	11077	1,180178	47,747585	0,570121	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	System-Gruppe	Gültige	-1	1	917909	98,167886	926845	98,748971	-0,964131	-0,581085	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	System-Gruppe	Gültige	-1	2	918674	98,249701	927510	98,819822	-0,952658	-0,570121	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	CDU	1	1	180625	19,677877	316662	34,165583	-42,959686	-14,487707	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	CDU	1	2	160134	17,430993	307263	33,127729	-47,883735	-15,696736	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	AfD	2	1	170004	18,52079	168456	18,175207	0,918934	0,345583	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	AfD	2	2	165368	18,000727	172409	18,588371	-4,083894	-0,587644	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	DIE LINKE	3	1	116005	12,637963	171130	18,463713	-32,212353	-5,82575	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	DIE LINKE	3	2	101675	11,067582	165368	17,829242	-38,515916	-6,76166	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	SPD	4	1	261308	28,467746	161437	17,417907	61,863761	11,049839	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	SPD	4	2	267381	29,105101	139689	15,060646	91,411636	14,044455	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	FDP	5	1	66326	7,225771	43899	4,736391	51,087724	2,48938	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	FDP	5	2	75460	8,214013	57895	6,241981	30,339408	1,972032	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	GRÜNE	6	1	62647	6,824968	33746	3,640954	85,642743	3,184014	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	GRÜNE	6	2	71922	7,828893	39514	4,260224	82,0165	3,568669	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	Tierschutzpartei	7	1	14333	1,561484	2161	0,233157	563,257751	1,328327	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	Tierschutzpartei	7	2	20549	2,236811	12507	1,348449	64,299992	0,888362	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	NPD	8	1			7977	0,860662		-0,860662	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	NPD	8	2	6399	0,696547	10408	1,122144	-38,518447	-0,425597	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	Die PARTEI	9	1	3687	0,401674	4631	0,499652	-20,384366	-0,097978	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	Die PARTEI	9	2	7911	0,861132	9309	1,003655	-15,017725	-0,142522	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	FREIE WÄHLER	10	1	17764	1,935268	13794	1,488275	28,780629	0,446993	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	FREIE WÄHLER	10	2	13318	1,449698	7543	0,813253	76,56105	0,636445	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	MLPD	11	1	1277	0,139121	1666	0,17975	-23,34934	-0,040629	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	MLPD	11	2	713	0,077612	1366	0,147276	-47,803807	-0,069664	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	ÖDP	12	1			591	0,063765		-0,063765	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	ÖDP	12	2	1189	0,129426	1205	0,129918	-1,327801	-0,000492	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	dieBasis	13	1	16023	1,745598					
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	dieBasis	13	2	16324	1,776909					
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	DKP	14	1							
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	DKP	14	2	757	0,082401					
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	Die Humanisten	15	1							
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	Die Humanisten	15	2	1271	0,138352					
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	PIRATEN	16	1	3802	0,414202					
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	PIRATEN	16	2	4262	0,46393					
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	Team Todenhöfer	17	1							
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	Team Todenhöfer	17	2	2144	0,23338					
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	Volt	18	1							
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	Volt	18	2	1897	0,206493					
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	UNABHÄNGIGE	19	1	1022	0,11134					
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Partei	UNABHÄNGIGE	19	2							
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	Einzelbewerber/Wählergruppe	Einzelbewerber/Wählergruppe	20	1	3086	0,336199					
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	System-Gruppe	Übrige	1000	1			695	0,074986		-0,074986	
BT	26.09.2021	Land	13	Mecklenburg-Vorpommern	BUND	99	System-Gruppe	Übrige	1000	2			3034	0,327112		-0,327112	
BT	26.09.2021	Land	2	Hamburg	BUND	99	System-Gruppe	Wahlberechtigte	-4		1299280		1296656		0,202367		
BT	26.09.2021	Land	2	Hamburg	BUND	99	System-Gruppe	Wählende	-3		1010922	77,806324	984926	75,958928	2,639386	1,847395	
BT	26.09.2021	Land	2	Hamburg	BUND	99	System-Gruppe	Ungültige	-2	1	7944	0,785817	9254	0,939563	-14,156041	-0,153746	
BT	26.09.2021	Land	2	Hamburg	BUND	99	System-Gruppe	Ungültige	-2	2	5818	0,575514	6808	0,691219	-14,541716	-0,115705	
BT	26.09.2021	Land	2	Hamburg	BUND	99	System-Gruppe	Gültige	-1	1	1002978	99,214183	975672	99,060437	2,798686	0,153746	
